policy_age_days,policy_type,customer_age,claim_amount,insured_amount,premium_amount,previous_claims,claim_type,incident_type,incident_severity,witness_present,police_report,claim_submission_delay,property_damage,bodily_injuries,vehicles_involved,state,claim_month,fraud_reported
2685,Auto,38,13043.19,50000,605.8,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,7,No,0,2,FL,June,0
2680,Home,27,5027.63,50000,593.37,0,Collision,Multi-Vehicle Collision,Major,No,Yes,4,Yes,0,4,IL,April,0
977,Commercial,22,8736.75,10000,271.84,0,Fire,Water Damage,Minor,No,Yes,3,No,0,0,FL,September,1
1773,Commercial,53,7860.72,25000,454.56,0,Collision,Multi-Vehicle Collision,Major,No,Yes,6,No,0,2,CA,March,1
1287,Auto,23,38279.62,100000,1034.75,1,Collision,Multi-Vehicle Collision,Total Loss,No,Yes,3,No,1,2,NY,February,0
3435,Home,43,197694.44,500000,4220.24,2,Collision,Single Vehicle Collision,Total Loss,Yes,No,0,No,0,1,IL,July,1
714,Auto,21,72495.18,250000,2204.44,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,0,No,0,3,FL,February,1
1484,Auto,79,6140.54,10000,252.56,0,Theft,Theft,Major,No,Yes,13,No,0,0,NY,June,0
1439,Commercial,56,182115.53,250000,2184.66,0,Collision,Multi-Vehicle Collision,Minor,No,Yes,1,No,2,2,TX,November,1
653,Auto,56,50579.22,100000,1053.23,3,Collision,Single Vehicle Collision,Minor,No,No,7,No,0,1,FL,August,0
322,Auto,67,36780.15,100000,1048.53,4,Fire,Water Damage,Minor,Yes,Yes,1,No,1,0,IL,March,0
3301,Auto,52,5208.57,50000,567.57,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,2,No,0,2,CA,March,0
1262,Auto,18,8377.44,50000,605.0,0,Theft,Theft,Major,No,No,4,Yes,1,0,NY,March,1
688,Auto,41,22929.99,50000,624.92,1,Collision,Multi-Vehicle Collision,Minor,Yes,Yes,0,Yes,3,3,NY,January,1
668,Home,74,4384.69,10000,301.66,2,Collision,Multi-Vehicle Collision,Major,No,No,5,No,0,2,CA,September,1
2003,Auto,53,4557.68,25000,421.27,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,5,No,2,3,IL,May,0
3450,Commercial,23,4749.79,25000,344.4,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,3,Yes,1,2,TX,September,0
1636,Commercial,58,9314.73,50000,541.43,0,Collision,Multi-Vehicle Collision,Major,Yes,Yes,3,No,1,4,CA,May,0
1500,Auto,71,38914.87,100000,1058.51,0,Collision,Multi-Vehicle Collision,Minor,No,No,0,Yes,1,3,TX,July,1
3309,Auto,63,10781.02,50000,675.45,0,Collision,Multi-Vehicle Collision,Minor,Yes,No,2,No,0,3,IL,January,1
1141,Auto,77,4899.03,10000,205.92,2,Collision,Multi-Vehicle Collision,Minor,No,Yes,0,No,0,2,FL,September,0
1858,Home,61,122346.65,500000,4198.61,1,Theft,Theft,Minor,Yes,Yes,1,No,3,0,FL,January,0
1525,Auto,77,176978.27,250000,2240.7,1,Fire,Water Damage,Major,Yes,Yes,10,No,0,0,IL,April,0
2494,Home,74,79730.92,100000,889.81,0,Collision,Single Vehicle Collision,Minor,No,No,3,No,4,1,TX,July,0
568,Auto,48,132402.88,500000,4146.33,3,Collision,Single Vehicle Collision,Minor,Yes,Yes,6,Yes,0,1,CA,November,0
1296,Home,37,15069.63,50000,595.39,2,Theft,Theft,Total Loss,No,Yes,3,No,0,0,IL,December,0
3586,Auto,41,374661.16,500000,4170.14,0,Theft,Theft,Total Loss,No,Yes,0,Yes,1,0,IL,September,0
3462,Auto,42,7096.96,10000,290.46,2,Collision,Multi-Vehicle Collision,Minor,No,Yes,4,No,2,3,FL,January,1
3463,Commercial,53,26512.24,50000,673.52,0,Collision,Single Vehicle Collision,Major,No,No,6,No,0,1,CA,December,1
3189,Home,38,5865.02,25000,357.36,0,Collision,Multi-Vehicle Collision,Minor,No,No,0,No,0,2,FL,November,0
1641,Auto,47,5806.92,25000,402.51,0,Collision,Multi-Vehicle Collision,Minor,No,Yes,7,No,1,3,TX,June,0
3004,Commercial,41,4076.67,25000,382.76,2,Fire,Fire,Minor,No,Yes,3,No,3,0,TX,November,0
3157,Auto,61,43580.67,100000,1006.82,2,Theft,Theft,Major,Yes,Yes,0,No,1,0,NY,October,0
703,Commercial,59,25107.61,100000,1000.29,0,Theft,Theft,Minor,No,Yes,3,Yes,0,0,IL,November,0
2165,Home,47,48599.57,50000,731.86,1,Collision,Single Vehicle Collision,Total Loss,No,No,2,Yes,0,1,CA,May,1
6,Auto,39,3958.96,25000,474.48,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,1,No,3,3,CA,March,0
646,Auto,45,40457.18,250000,2120.95,2,Fire,Fire,Minor,No,Yes,6,No,0,0,FL,October,0
2272,Auto,24,7367.2,100000,954.99,0,Collision,Multi-Vehicle Collision,Major,Yes,Yes,10,No,0,4,FL,February,0
1594,Home,52,15309.13,50000,561.11,1,Collision,Multi-Vehicle Collision,Minor,No,No,6,No,0,2,CA,January,1
859,Home,72,20556.6,100000,938.29,1,Collision,Single Vehicle Collision,Minor,No,Yes,8,No,0,1,FL,February,0
1764,Auto,45,24495.44,25000,331.58,0,Collision,Single Vehicle Collision,Minor,No,No,10,No,0,1,NY,December,0
3301,Auto,31,23045.03,50000,591.08,0,Collision,Multi-Vehicle Collision,Minor,No,No,10,No,0,4,IL,April,0
2437,Commercial,73,68604.05,250000,2163.02,1,Collision,Multi-Vehicle Collision,Minor,No,No,0,No,1,3,NY,June,0
3479,Commercial,27,4596.16,25000,355.46,0,Fire,Fire,Minor,Yes,No,2,No,0,0,TX,December,1
1666,Home,33,16764.4,50000,701.02,3,Theft,Theft,Minor,No,Yes,0,No,0,0,CA,May,1
1158,Auto,33,104685.82,250000,2166.46,0,Collision,Multi-Vehicle Collision,Minor,No,Yes,3,No,0,2,NY,April,1
1081,Auto,71,103803.27,100000,977.84,3,Theft,Theft,Total Loss,No,No,11,Yes,3,0,NY,August,1
1712,Auto,48,1050.66,10000,317.07,0,Collision,Multi-Vehicle Collision,Minor,No,No,0,No,1,4,FL,December,0
2782,Commercial,59,5669.26,25000,377.67,0,Collision,Single Vehicle Collision,Minor,No,No,4,Yes,0,1,FL,July,0
1700,Auto,42,2180.15,10000,221.72,0,Theft,Theft,Total Loss,No,No,4,Yes,0,0,FL,April,0
1738,Home,30,109432.27,100000,987.1,1,Collision,Single Vehicle Collision,Major,No,Yes,0,No,0,1,TX,October,1
1444,Auto,23,24810.17,50000,700.44,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,1,No,2,3,NY,May,0
2299,Home,61,17068.8,25000,375.93,0,Theft,Theft,Minor,Yes,No,2,Yes,0,0,IL,December,1
840,Home,26,206166.52,500000,4154.41,0,Fire,Fire,Major,Yes,No,0,Yes,0,0,FL,October,1
3515,Commercial,62,9779.69,50000,621.01,1,Collision,Single Vehicle Collision,Minor,No,Yes,3,No,1,1,TX,May,0
207,Auto,53,531.17,25000,384.7,0,Collision,Multi-Vehicle Collision,Major,No,Yes,2,No,1,4,TX,March,0
3260,Auto,73,15874.63,50000,736.95,1,Collision,Multi-Vehicle Collision,Total Loss,No,Yes,3,Yes,0,3,FL,September,0
127,Auto,60,8787.9,100000,960.66,0,Collision,Multi-Vehicle Collision,Major,Yes,Yes,0,No,0,3,CA,November,0
405,Commercial,37,3470.32,10000,366.69,1,Collision,Single Vehicle Collision,Minor,No,Yes,3,Yes,0,1,NY,May,0
771,Commercial,35,7438.51,25000,458.17,1,Collision,Multi-Vehicle Collision,Major,Yes,No,0,No,0,2,FL,December,1
298,Home,75,30209.27,250000,2180.93,5,Theft,Theft,Major,No,Yes,9,No,0,0,IL,October,0
2332,Home,60,12092.75,50000,599.82,1,Collision,Multi-Vehicle Collision,Major,Yes,No,1,No,4,2,NY,February,1
2936,Home,74,18589.28,50000,548.51,0,Collision,Single Vehicle Collision,Minor,No,No,8,No,0,1,TX,April,0
202,Auto,38,47500.39,50000,573.08,0,Collision,Single Vehicle Collision,Major,Yes,No,5,Yes,1,1,IL,December,0
3034,Commercial,21,2829.92,10000,260.58,1,Collision,Multi-Vehicle Collision,Major,Yes,No,6,No,0,2,NY,April,0
1935,Auto,67,907.75,25000,407.89,1,Fire,Water Damage,Total Loss,No,Yes,1,Yes,0,0,IL,May,1
3587,Auto,50,22641.6,50000,529.37,2,Collision,Multi-Vehicle Collision,Major,Yes,No,1,No,2,3,TX,August,1
2804,Home,44,8247.88,25000,415.57,1,Fire,Fire,Minor,No,Yes,2,No,1,0,FL,May,0
2196,Auto,24,7086.59,10000,272.71,1,Fire,Water Damage,Major,No,No,0,Yes,4,0,IL,January,0
613,Auto,23,260474.61,250000,2219.91,0,Theft,Theft,Minor,Yes,Yes,11,No,0,0,FL,February,1
3277,Home,32,97977.42,500000,4227.37,0,Collision,Multi-Vehicle Collision,Major,No,No,2,Yes,0,4,TX,March,1
1152,Auto,35,75084.96,100000,988.7,0,Fire,Water Damage,Minor,No,Yes,20,No,0,0,TX,March,0
191,Home,49,93577.18,250000,2224.41,0,Collision,Multi-Vehicle Collision,Minor,No,Yes,6,No,0,2,IL,October,1
3402,Auto,73,10722.86,25000,395.64,1,Collision,Single Vehicle Collision,Major,No,Yes,0,No,0,1,IL,June,0
2516,Auto,28,242500.39,500000,4237.17,0,Collision,Multi-Vehicle Collision,Minor,Yes,No,4,No,2,2,TX,September,0
3425,Auto,37,20329.48,25000,415.81,0,Collision,Single Vehicle Collision,Major,Yes,Yes,1,Yes,0,1,IL,October,1
1799,Auto,41,57227.48,500000,4209.05,0,Collision,Single Vehicle Collision,Major,Yes,Yes,1,No,3,1,IL,January,0
664,Home,32,118820.74,500000,4194.88,0,Collision,Multi-Vehicle Collision,Minor,No,No,1,No,0,2,IL,June,0
2816,Auto,65,79099.64,100000,1064.79,0,Collision,Multi-Vehicle Collision,Minor,No,Yes,11,Yes,1,2,IL,September,0
3007,Home,24,82182.35,500000,4220.26,1,Theft,Theft,Total Loss,Yes,Yes,3,Yes,0,0,NY,April,0
1960,Auto,38,10330.82,50000,533.93,0,Collision,Single Vehicle Collision,Minor,No,Yes,4,No,0,1,TX,October,0
2455,Home,59,8802.18,25000,376.4,1,Collision,Multi-Vehicle Collision,Major,Yes,Yes,1,No,2,3,TX,March,0
1374,Commercial,43,23337.94,50000,588.57,1,Fire,Fire,Major,No,No,3,No,0,0,CA,June,0
1991,Home,61,15392.1,50000,599.94,4,Collision,Multi-Vehicle Collision,Total Loss,Yes,Yes,1,No,1,4,FL,June,1
1539,Auto,73,1663.71,10000,288.84,0,Theft,Theft,Major,Yes,No,1,No,0,0,CA,February,0
151,Auto,31,32946.05,100000,952.79,0,Fire,Fire,Major,No,Yes,1,Yes,2,0,IL,May,0
3224,Auto,74,110765.44,500000,4196.6,0,Collision,Single Vehicle Collision,Total Loss,Yes,No,2,No,1,1,IL,January,1
2916,Home,54,1872.32,25000,384.29,0,Collision,Single Vehicle Collision,Major,No,No,4,Yes,0,1,NY,September,0
1739,Auto,75,21431.98,100000,1054.24,3,Fire,Fire,Major,No,No,1,No,0,0,NY,September,1
1848,Auto,38,100010.23,250000,2150.25,1,Fire,Fire,Minor,No,Yes,15,Yes,0,0,NY,March,0
493,Home,35,64160.44,250000,2199.13,1,Theft,Theft,Minor,No,Yes,0,No,0,0,NY,May,1
2981,Auto,22,432184.31,500000,4165.73,0,Collision,Single Vehicle Collision,Major,No,Yes,2,No,0,1,NY,March,1
1964,Home,20,33957.77,50000,693.15,1,Fire,Fire,Major,No,No,0,No,0,0,NY,July,1
1668,Auto,40,498725.74,500000,4262.83,0,Collision,Multi-Vehicle Collision,Minor,No,Yes,0,Yes,0,3,NY,January,1
2603,Auto,43,11483.5,100000,917.88,1,Collision,Multi-Vehicle Collision,Minor,No,No,11,No,3,3,NY,May,0
2390,Home,54,5810.5,25000,360.19,1,Collision,Single Vehicle Collision,Major,No,Yes,7,Yes,0,1,NY,June,1
2924,Auto,41,13735.65,50000,643.55,0,Collision,Multi-Vehicle Collision,Minor,No,Yes,5,No,3,3,TX,November,1
645,Home,66,13846.56,100000,1022.86,0,Theft,Theft,Minor,No,Yes,8,No,0,0,NY,December,0
1807,Auto,36,6790.16,25000,421.3,2,Theft,Theft,Minor,No,Yes,7,No,1,0,FL,July,0
2525,Auto,68,86650.44,100000,1009.54,0,Theft,Theft,Major,No,No,4,Yes,0,0,NY,March,1
1974,Commercial,42,20613.74,100000,1047.56,0,Collision,Multi-Vehicle Collision,Minor,Yes,Yes,8,No,0,2,IL,July,0
2203,Home,38,6729.64,25000,439.05,0,Collision,Single Vehicle Collision,Minor,Yes,Yes,2,No,2,1,IL,April,1
1443,Home,29,8925.41,50000,585.47,0,Theft,Theft,Minor,Yes,Yes,3,No,4,0,NY,October,0
3374,Auto,74,25158.16,100000,940.04,1,Collision,Multi-Vehicle Collision,Minor,Yes,No,6,No,0,4,NY,November,0
1639,Home,78,52547.49,50000,515.5,1,Fire,Fire,Major,Yes,Yes,0,No,3,0,IL,June,0
267,Auto,58,2852.83,10000,274.82,1,Theft,Theft,Major,No,Yes,8,No,1,0,FL,May,0
1792,Auto,50,2053.55,10000,188.0,0,Theft,Theft,Minor,Yes,No,0,No,3,0,CA,April,0
2196,Commercial,67,25308.84,50000,612.55,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,8,No,0,3,TX,June,0
2398,Auto,70,64786.5,250000,2184.6,2,Theft,Theft,Total Loss,Yes,Yes,1,Yes,3,0,IL,December,0
628,Commercial,21,1350.59,25000,497.2,0,Fire,Fire,Minor,Yes,Yes,1,No,2,0,NY,March,1
1021,Auto,59,27049.58,100000,1017.16,0,Collision,Multi-Vehicle Collision,Major,No,No,0,No,0,3,TX,March,1
3648,Auto,74,5811.49,25000,398.54,2,Theft,Theft,Minor,No,No,9,No,0,0,NY,May,0
885,Home,24,20344.46,50000,519.19,0,Collision,Single Vehicle Collision,Minor,No,No,0,Yes,0,1,CA,November,0
2054,Commercial,39,163035.62,250000,2136.88,0,Collision,Single Vehicle Collision,Minor,No,No,4,Yes,0,1,CA,May,0
2949,Home,72,21391.2,100000,1034.07,0,Theft,Theft,Major,No,No,4,No,2,0,IL,September,1
1332,Commercial,50,6567.39,10000,264.35,0,Theft,Theft,Minor,Yes,Yes,1,No,1,0,TX,April,0
2306,Home,34,21212.05,50000,726.77,0,Fire,Fire,Minor,No,Yes,19,No,1,0,TX,May,0
457,Home,41,2534.36,10000,275.85,0,Collision,Multi-Vehicle Collision,Minor,Yes,Yes,0,Yes,0,3,CA,December,0
3113,Commercial,78,14059.64,50000,608.45,1,Collision,Single Vehicle Collision,Minor,No,Yes,4,Yes,0,1,NY,September,0
1188,Auto,78,55571.45,100000,934.16,0,Theft,Theft,Minor,No,No,2,No,0,0,IL,April,0
3067,Auto,51,9629.46,25000,447.37,2,Collision,Single Vehicle Collision,Minor,No,No,1,No,1,1,FL,March,0
2061,Auto,45,4686.61,25000,353.71,0,Collision,Single Vehicle Collision,Minor,Yes,Yes,0,Yes,0,1,CA,July,0
3309,Commercial,75,21908.78,50000,626.22,3,Collision,Multi-Vehicle Collision,Major,No,Yes,5,Yes,0,2,CA,July,1
3175,Commercial,60,219547.77,250000,2240.59,3,Collision,Single Vehicle Collision,Major,Yes,No,11,No,0,1,IL,August,1
1687,Auto,58,178338.66,500000,4204.76,1,Theft,Theft,Minor,Yes,Yes,0,Yes,0,0,NY,April,0
2868,Home,56,10494.69,10000,367.85,3,Theft,Theft,Minor,No,Yes,0,No,0,0,TX,April,1
2260,Commercial,39,12286.53,100000,969.46,1,Collision,Multi-Vehicle Collision,Major,No,No,19,Yes,0,2,CA,September,0
1159,Auto,66,15853.24,50000,683.78,2,Collision,Single Vehicle Collision,Minor,Yes,Yes,0,No,3,1,IL,October,0
408,Home,34,8881.67,50000,536.45,0,Collision,Multi-Vehicle Collision,Minor,No,No,3,Yes,0,3,IL,July,0
2204,Commercial,51,51188.25,100000,1039.95,0,Collision,Single Vehicle Collision,Major,No,No,3,No,2,1,IL,March,1
2106,Auto,23,97198.55,250000,2192.88,1,Collision,Multi-Vehicle Collision,Total Loss,Yes,Yes,1,Yes,0,2,TX,September,0
3196,Home,63,224777.42,500000,4164.59,0,Collision,Single Vehicle Collision,Minor,No,Yes,4,Yes,2,1,CA,May,1
1701,Auto,23,24995.89,50000,516.94,2,Theft,Theft,Minor,Yes,No,12,Yes,0,0,IL,April,0
632,Commercial,51,14472.62,50000,586.97,2,Theft,Theft,Total Loss,No,Yes,2,No,2,0,TX,January,0
591,Commercial,18,36318.09,100000,983.81,0,Collision,Single Vehicle Collision,Minor,Yes,Yes,6,No,2,1,NY,September,0
1653,Commercial,27,4644.61,25000,408.65,2,Theft,Theft,Total Loss,No,No,4,Yes,0,0,FL,June,1
1448,Auto,38,11543.74,50000,636.24,0,Fire,Fire,Minor,No,Yes,2,Yes,3,0,CA,November,0
1450,Commercial,22,17452.3,50000,559.58,0,Collision,Single Vehicle Collision,Minor,No,Yes,0,No,0,1,TX,February,0
108,Commercial,19,24416.64,100000,1087.91,1,Collision,Single Vehicle Collision,Major,Yes,Yes,6,No,1,1,FL,July,0
258,Auto,39,22523.02,25000,373.07,0,Collision,Multi-Vehicle Collision,Total Loss,No,Yes,2,No,0,4,FL,March,0
3303,Commercial,65,6144.01,25000,430.11,1,Collision,Multi-Vehicle Collision,Total Loss,No,Yes,1,No,3,2,TX,June,0
3188,Auto,74,223644.66,250000,2204.51,1,Theft,Theft,Minor,No,Yes,13,Yes,2,0,TX,August,1
2562,Home,19,14059.18,25000,390.06,0,Theft,Theft,Major,No,Yes,6,Yes,0,0,TX,March,0
1501,Auto,27,6450.35,50000,602.0,1,Collision,Single Vehicle Collision,Major,Yes,Yes,14,Yes,0,1,IL,December,0
103,Auto,51,10054.93,25000,352.99,1,Theft,Theft,Major,No,No,1,No,2,0,NY,December,1
2205,Auto,33,1722.06,10000,260.62,0,Theft,Theft,Major,No,No,8,No,1,0,IL,May,1
1889,Home,65,1703.62,10000,213.01,0,Collision,Multi-Vehicle Collision,Minor,No,Yes,4,Yes,3,3,FL,June,0
2966,Auto,68,6553.04,25000,372.54,2,Collision,Multi-Vehicle Collision,Minor,No,Yes,17,Yes,0,4,FL,January,0
1924,Home,78,15099.13,250000,2176.67,2,Fire,Fire,Total Loss,Yes,No,13,No,0,0,FL,October,1
882,Auto,56,12940.84,25000,442.26,0,Fire,Water Damage,Total Loss,Yes,No,16,Yes,0,0,TX,July,1
342,Auto,39,61341.08,500000,4183.4,0,Theft,Theft,Minor,Yes,No,13,Yes,0,0,CA,April,0
2874,Home,29,8068.8,50000,577.6,2,Fire,Water Damage,Minor,No,No,0,No,0,0,IL,October,0
3239,Home,41,3388.26,50000,611.0,1,Collision,Multi-Vehicle Collision,Total Loss,No,Yes,6,Yes,0,2,CA,November,0
961,Auto,64,5159.77,50000,609.04,0,Collision,Single Vehicle Collision,Minor,No,Yes,1,Yes,0,1,NY,July,1
1709,Home,57,12156.46,50000,570.45,1,Collision,Single Vehicle Collision,Major,No,No,5,No,0,1,NY,July,1
165,Commercial,55,38292.99,100000,1019.71,0,Collision,Multi-Vehicle Collision,Minor,No,No,17,No,0,3,IL,November,0
1608,Home,77,12859.43,25000,391.07,1,Theft,Theft,Total Loss,No,Yes,0,No,1,0,FL,May,1
2853,Auto,76,6668.59,50000,570.37,0,Fire,Fire,Minor,Yes,Yes,3,Yes,0,0,NY,August,0
402,Auto,27,22995.62,250000,2175.23,0,Theft,Theft,Minor,No,Yes,5,No,0,0,CA,August,1
1305,Commercial,52,36133.07,250000,2247.47,0,Collision,Single Vehicle Collision,Minor,No,Yes,1,No,0,1,CA,May,0
820,Auto,68,94189.87,250000,2176.73,3,Collision,Multi-Vehicle Collision,Total Loss,No,Yes,1,Yes,0,4,TX,May,1
1532,Commercial,66,6720.74,50000,613.06,1,Collision,Multi-Vehicle Collision,Major,Yes,No,0,No,3,4,FL,July,1
1924,Home,49,31874.84,100000,935.88,1,Collision,Multi-Vehicle Collision,Major,No,No,0,No,0,4,TX,June,1
1420,Commercial,24,22046.3,50000,655.77,1,Theft,Theft,Minor,No,No,4,No,2,0,IL,April,0
1163,Home,38,4791.35,50000,570.85,0,Collision,Multi-Vehicle Collision,Total Loss,No,No,3,No,0,2,NY,February,0
1223,Commercial,37,3175.2,25000,420.01,3,Fire,Fire,Major,No,Yes,0,No,2,0,TX,August,0
405,Auto,43,16088.89,50000,587.42,0,Fire,Fire,Major,No,No,15,No,0,0,TX,March,0
644,Home,21,11382.49,25000,419.44,2,Collision,Multi-Vehicle Collision,Total Loss,No,No,4,No,0,4,IL,February,0
3109,Auto,63,20185.11,50000,622.17,0,Collision,Single Vehicle Collision,Minor,No,Yes,3,Yes,2,1,CA,December,0
2740,Auto,69,11230.88,250000,2192.77,0,Theft,Theft,Major,No,No,1,No,0,0,CA,October,1
464,Home,39,20221.71,25000,306.7,1,Collision,Single Vehicle Collision,Total Loss,No,Yes,4,Yes,1,1,IL,July,0
959,Commercial,32,3760.46,10000,334.55,1,Theft,Theft,Major,No,No,2,Yes,0,0,CA,October,0
474,Commercial,73,1861.59,10000,273.0,2,Collision,Multi-Vehicle Collision,Major,No,Yes,5,No,1,2,IL,June,0
3451,Home,57,88767.37,250000,2218.4,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,5,No,3,3,CA,August,0
1050,Auto,38,37580.08,50000,634.59,0,Collision,Multi-Vehicle Collision,Major,No,Yes,0,Yes,4,2,IL,June,1
2802,Auto,32,20113.82,50000,577.14,3,Collision,Multi-Vehicle Collision,Major,No,Yes,10,No,0,2,CA,July,0
1698,Home,39,46748.15,250000,2225.86,0,Fire,Fire,Minor,No,Yes,2,Yes,0,0,TX,February,1
2090,Auto,69,16104.42,250000,2162.62,2,Collision,Multi-Vehicle Collision,Total Loss,No,Yes,2,No,4,3,TX,October,0
2282,Auto,45,53318.55,50000,619.38,1,Fire,Fire,Minor,No,Yes,13,Yes,2,0,CA,February,1
3441,Auto,31,33334.09,100000,1000.99,0,Theft,Theft,Minor,No,Yes,2,No,0,0,IL,June,1
567,Auto,44,36171.76,100000,978.88,0,Theft,Theft,Major,Yes,Yes,5,No,0,0,TX,September,0
2490,Auto,78,11617.53,100000,1002.35,0,Collision,Multi-Vehicle Collision,Minor,No,No,4,No,0,2,NY,March,1
1804,Auto,58,10601.9,25000,347.24,0,Theft,Theft,Minor,No,No,0,Yes,4,0,CA,November,0
3359,Auto,57,93306.34,250000,2215.45,0,Collision,Multi-Vehicle Collision,Minor,No,No,21,No,0,2,NY,October,0
2079,Auto,75,9166.69,50000,620.64,0,Collision,Single Vehicle Collision,Minor,No,No,2,No,0,1,NY,August,0
230,Commercial,45,5708.36,25000,417.28,0,Theft,Theft,Minor,Yes,Yes,2,No,1,0,FL,May,1
3353,Auto,43,26406.12,50000,675.11,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,11,No,3,3,NY,June,0
802,Auto,66,2874.44,10000,275.25,2,Fire,Fire,Minor,No,Yes,3,No,2,0,NY,June,0
2336,Home,19,11262.54,25000,398.69,0,Collision,Multi-Vehicle Collision,Minor,No,No,5,Yes,0,4,FL,November,0
2931,Auto,42,33048.36,100000,941.49,0,Theft,Theft,Major,No,No,8,Yes,0,0,FL,December,1
964,Commercial,73,5601.65,10000,358.62,0,Collision,Single Vehicle Collision,Total Loss,No,Yes,1,No,3,1,FL,October,0
1509,Home,79,15468.26,50000,525.09,1,Theft,Theft,Major,No,Yes,0,No,1,0,IL,November,0
457,Auto,20,22051.52,50000,611.43,2,Fire,Water Damage,Major,No,No,0,No,1,0,FL,March,0
3072,Auto,25,2916.18,10000,249.26,1,Collision,Single Vehicle Collision,Minor,Yes,Yes,10,No,1,1,IL,November,0
820,Commercial,61,156130.86,500000,4203.12,2,Collision,Multi-Vehicle Collision,Major,Yes,Yes,1,Yes,0,3,CA,November,0
663,Commercial,50,20092.4,25000,334.6,1,Theft,Theft,Major,No,No,1,Yes,1,0,IL,May,0
3592,Auto,59,3791.57,50000,644.58,1,Collision,Multi-Vehicle Collision,Minor,Yes,Yes,1,No,0,4,CA,December,1
551,Home,69,48379.07,50000,552.24,0,Collision,Multi-Vehicle Collision,Minor,Yes,No,1,No,0,2,FL,January,0
1220,Auto,52,6476.3,25000,458.31,2,Collision,Single Vehicle Collision,Minor,Yes,Yes,4,No,2,1,FL,February,0
3125,Commercial,23,9800.86,10000,233.62,3,Fire,Fire,Major,No,No,13,Yes,0,0,CA,October,1
3588,Auto,56,11955.03,100000,1048.76,1,Fire,Fire,Minor,Yes,No,1,Yes,0,0,TX,March,0
21,Commercial,69,379098.29,500000,4158.45,2,Theft,Theft,Total Loss,Yes,Yes,2,Yes,0,0,IL,April,1
3248,Home,40,15144.81,25000,369.27,0,Theft,Theft,Minor,Yes,No,6,No,0,0,NY,September,1
1248,Home,42,32087.0,100000,999.91,2,Theft,Theft,Minor,No,No,2,No,2,0,FL,January,0
2210,Home,76,24151.54,100000,957.6,0,Collision,Multi-Vehicle Collision,Major,No,No,11,No,1,3,IL,March,1
2529,Auto,67,181309.47,250000,2156.13,0,Collision,Multi-Vehicle Collision,Total Loss,Yes,Yes,3,No,0,4,IL,March,1
1074,Auto,60,38326.23,50000,558.18,0,Collision,Multi-Vehicle Collision,Minor,No,Yes,1,No,0,2,FL,June,0
3449,Auto,36,15599.01,50000,615.94,3,Fire,Fire,Major,No,Yes,15,No,0,0,CA,May,0
2570,Auto,22,43231.28,50000,599.98,2,Theft,Theft,Minor,No,No,2,No,0,0,FL,March,1
2151,Home,68,10748.15,100000,1002.63,2,Collision,Single Vehicle Collision,Major,No,No,1,No,1,1,IL,April,1
1773,Auto,28,65262.9,250000,2183.77,2,Theft,Theft,Major,No,Yes,0,No,0,0,TX,November,0
1065,Auto,73,18465.5,25000,427.43,0,Collision,Single Vehicle Collision,Total Loss,Yes,Yes,23,No,1,1,CA,July,1
2332,Commercial,29,45775.45,50000,652.5,3,Theft,Theft,Minor,No,No,6,Yes,0,0,FL,March,1
3425,Commercial,27,212014.79,250000,2228.78,3,Collision,Single Vehicle Collision,Minor,No,Yes,2,No,0,1,NY,September,1
2549,Commercial,25,47817.79,250000,2189.55,1,Collision,Single Vehicle Collision,Major,No,Yes,7,Yes,0,1,FL,August,1
306,Commercial,41,185505.31,500000,4138.96,0,Theft,Theft,Minor,No,Yes,3,Yes,0,0,IL,February,0
185,Auto,77,21648.93,100000,901.15,1,Theft,Theft,Major,No,Yes,1,Yes,2,0,IL,May,0
611,Auto,45,8649.36,50000,596.76,4,Collision,Single Vehicle Collision,Major,No,No,6,No,0,1,NY,April,1
3175,Home,58,25512.94,50000,500.34,2,Collision,Multi-Vehicle Collision,Minor,Yes,Yes,6,No,0,2,CA,December,0
704,Home,53,8946.15,100000,990.03,2,Theft,Theft,Major,No,Yes,3,Yes,3,0,IL,May,0
997,Auto,54,6259.46,10000,350.13,3,Theft,Theft,Minor,No,No,0,Yes,1,0,CA,March,0
1144,Commercial,38,14126.27,50000,542.33,2,Fire,Fire,Total Loss,No,Yes,0,No,0,0,CA,October,0
195,Auto,25,42412.28,100000,935.69,1,Collision,Multi-Vehicle Collision,Major,No,Yes,6,No,4,2,FL,November,1
2305,Auto,72,27403.74,25000,431.85,1,Fire,Water Damage,Major,Yes,No,7,No,0,0,CA,January,1
985,Home,26,8557.24,100000,859.71,0,Theft,Theft,Minor,No,No,5,No,1,0,IL,August,0
2980,Home,64,13716.67,50000,619.09,1,Theft,Theft,Total Loss,No,Yes,8,No,0,0,IL,September,0
2011,Home,32,75191.89,500000,4273.43,1,Theft,Theft,Major,Yes,Yes,5,Yes,1,0,TX,August,0
